Date,Price
11-1,1422.6
11-2,1339.6
11-2,1430.7
11-4,1428.1
11-5,1556.7
11-6,1542.4
11-7,1482.3
11-8,1619
11-9,1826
11-10,1656
11-11,1711
11-12,1735.3
12-1,1599.7
12-2,1747.1
12-3,1721.1
12-4,1677.5
12-5,1661.7
12-6,1620.5
12-7,1597.2
12-8,1603.7
12-9,1692.9
12-10,1780.5
12-11,1714.1
12-12,1719.6
13-1,1687.9
13-2,1669.4
13-3,1571.9
13-4,1600
13-5,1446.3
13-6,1411.7
13-7,1255.9
13-8,1311
13-9,1393.7
13-10,1286
13-11,1313.1
13-12,1222.3
14-1,1205.4
14-2,1260.4
14-3,1350.1
14-4,1279.6
14-5,1283.1
14-6,1243.7
14-7,1480.2
14-8,1451.1
14-9,1287.4
14-10,1370.2
14-11,1294.4
14-12,1332.5
15-1,1186.8
15-2,1382.4
15-3,1305.8
15-4,1294.2
15-5,1266.1
15-6,1280.4
15-7,1268.5
15-8,1176.8
15-9,1221.3
15-10,1182.1
15-11,1190.4
15-12,1122
16-1,1135.5
16-2,1173.5
16-3,1271.2
16-4,1268.9
16-5,1347.3
16-6,1267.2
16-7,1394.3
16-8,1416.2
16-9,1372.6
16-10,1365.9
16-11,1348
16-12,1233.7
17-1,1151.05
17-2,1289.5
17-3,1331.1
17-4,1332.7
17-5,1334.6
17-6,1343.2
17-7,1290.9
17-8,1346.3
17-9,1397.1
17-10,1350.1
17-11,1354.6
17-12,1362.8
18-1,1308.7
18-2,1445.1
18-3,1406
18-4,1445.8
18-5,1406.4
18-6,1390.1
18-7,1329.7
18-8,1304
18-9,1204.9
18-10,1264.4
18-11,1312.2
18-12,1306.4
19-1,1283.35
19-2,1381.1
19-3,1358.3
19-4,1342.7
19-5,1334.2
19-6,1365.3
19-7,1423.6
19-8,1461.5
19-9,1538.05
19-10,1518
19-11,1541.3
19-12,1493.1
20-1,1520.95
20-2,1604
20-3,1609.7
20-4,1592.5
20-5,1712
20-6,1763.7
20-7,1801.9
20-8,1986.3
20-9,1978.9
